PlayerGagged,,,Remove that gag or get lost.  I run the market and I don't have time for mumblings.,,
20,,She's getting sold?,"Yes, she will be auctioned today.  You will be able to bet on her if you like, as long as you have some room to accommodate her.",,
20,,Why doesn't she talk with me?,"I run the auction, not her.  Don't speak with the merchandize.",,
20,,What if I buy her?,She will move in with you and you two will be able to start a regular BDSM trial together.,,
20,,What's the price?,"It's an auction.  You bet against other Dominants and the highest bet gets the girl.  Bring lots of money, you never know.",,
20,21,I want to participate in the auction.,Excellent.  Just wait here for the other Dominants to come in and we'll be ready.,,CanStartAuction()
20,,I want to participate in the auction.,No girl.  You're way too submissive to take care of a slave.  You can watch but you cannot bet.,,CannotStartAuctionSubmissive()
20,,I want to participate in the auction.,No.  You need to have some room for her first.  If you buy the merchandize you need to store it.,,CannotStartAuctionRoom()
20,0,Let's talk about something else.,Fine.  What would you like know?,,
21,,(Start the auction.),,AuctionStart(),
21,0,I've changed my mind.,(She frowns.)  Make up your mind girl.  What do you want?,"DialogChangeReputation(""Dominant"", -1)",
22,,,Congratulations on your purchase!  I hope you two share a wonderful time.,,
22,0,Thanks a lot!,We have brand new girl for sale.  Unless you want to talk about something else.,,
23,0,Very well.  (Check the new slave.),,NewSlave(),
30,,How does training work?,"You'll get a slave to train, but they are all different: some need discipline, other need control and some even need corporal punishment.",,
30,,Who gets trained?,It depends.  Some owners send their slaves here for education and some girls come willingly to raise their market value.,,
30,,Do I get paid?,"Yes, you'll get paid for every successful training session.  The higher we can sell them the better.",,
30,,Can I train her?,"Not her, she's getting sold today.  We have many other slaves to train though.",,
30,31,I'm ready to train!,"Very well, a maid will lead you to the training room.  The slave to train will be waiting there for you.",,
30,0,Let's talk some more first.,Fine.  What would you like know?,,
31,,(Go train a slave.),,TrainingStart(),
31,0,I've changed my mind.,(She frowns.)  Make up your mind girl.  What do you want?,"DialogChangeReputation(""Dominant"", -1)",
40,41,(Wait for the next slave.),"(The auction goes on, the slave is sold and replaced by a new one.)  Here's the new product!",,
40,0,I'll check that one again.,"Sure, check the curves on that fine product.  (She smirks.)",,
41,0,Thanks!  (Check on her.),,NewSlave(),
42,0,Thanks a lot!,My pleasure.  Let me know if there's something else you need from me.,,
42,0,There's no slave that I cannot train.,That's the spirit!  Let me know if there's something else you need from me.,"DialogChangeReputation(""Dominant"", 2)",
43,0,I'll do better next time.,I hope you're right.  Do you need anything else?,,
43,0,I'm sorry.,"Being sorry won't help, you need to be stronger and focus on your slave needs.  Do you want anything else?","DialogChangeReputation(""Dominant"", -1)",
43,0,That slave was a wimp.,"Maybe, but you still need to focus on your wimp needs.  Do you want anything else?","DialogChangeReputation(""Dominant"", 2)",
50,51,Please tell me the rules.,"As a slave on auction, you will be naked and chained for Dominants to examine and question you.",,
50,51,(Listen quietly.),"As a slave on auction, you will be naked and chained for Dominants to examine and question you.",,
51,52,Alright.,"After the exam, the bidding will start.  Each buyer will bid until no one wants to bid anymore.  The last bid wins you.",,
51,52,This is kinky!,"After the exam, the bidding will start.  Each buyer will bid until no one wants to bid anymore.  The last bid wins you.",,
52,53,Very well.,"I don't know the price you will raise, but the more submissive you are, the higher it usualy gets.",,
52,0,I know how auction works.  Get to the point.,"If you're not going to take this seriously, I cannot allow you to be auctioned.  Get lost girl.","DialogChangeReputation(""Dominant"", 1)",
52,53,(Listen carefully.),"I don't know the price you will raise, but the more submissive you are, the higher it usualy gets.",,
53,54,Who gets the profits?,You will get half the money and Bondage Club gets the other half.,,
53,54,I hope it pays well.,You will get half the money and Bondage Club gets the other half.,,
54,0,This is robbery!,"If you cannot accept our terms, I cannot allow you to be auctioned.  Get lost girl.","DialogChangeReputation(""Dominant"", 1)",
54,55,This is fair.,"Once the transaction is done, your owner will go to your room, having started a regular trial period with her.",,
54,55,(Nod slowly.),"Once the transaction is done, your owner will go to your room, having started a regular trial period with her.",,
55,56,I understand.,Good girl.  So are you ready to be auctioned?  You first need to get naked and chained.,,
55,56,It sounds good.,Good girl.  So are you ready to be auctioned?  You first need to get naked and chained.,,
56,57,"Yes, I'm ready to be auctioned.","Very good.  (She grins and gets you naked and chained, so buyers can come to check on you.)",AuctionPlayerStrip(),
56,0,I've changed my mind.,Don't waste my time then.  This is a place of business.,,
57,58,(Let the buyers examine you.),"(A few Dominants seem to be interested in buying you.  They ask you about your fetishes, sexual preferences and limits.)",,"DialogReputationGreater(""Dominant"", -49)"
57,58,(Let the buyers examine you.),"(Lots of Dominants seem to be very interested in buying you.  They ask you about your fetishes, sexual preferences and limits.)",,"DialogReputationLess(""Dominant"", -50)"
58,59,(Answer the questions.),"(After many interviews and physcial examinations, the auctioneer comes in so you can be sold.)",,
59,0,(Start the auction.),,AuctionPlayerStart(),
