PlayerGagged,,,"Silence is gold, and a gagged submissive is even better.",,,
0,,"Hello there, I'm DialogPlayerName.","Welcome to the Dojo, I'm teacher DialogCharacterName.",DialogRemove(),,
0,,What's going on here?,I teach Shibari and Kinbaku in this Dojo.  I mostly restrain and release submissives.,,,
0,,What is Shibari?,"Shibari can roughly be translated as: ""to tie"".  It's an ancient form of rope bondage art coming from Japan.",,,
0,,Can I tie you up?,"No, as the Dominant in the room, I need my freedom to supervise.",,"DialogReputationLess(""Dominant"", 74)",
0,,Can I tie you up?,"Your reputation as a Domme precedes you.  Yes, you may tie me up and take control of the Dojo.",StartTeacherBondage(),AllowTeacherBondage(),
0,,Get naked for your Shibari session.,Very well Miss DialogPlayerName.  (She strips down for you.),DialogNaked(CurrentCharacter),AllowTeacherStrip(),
0,10,Will you tie me up?,"Of course, with practice you will become a true escape artist.  Should I go easy on you or make it tight?",,AllowPlayerBondage(),
0,,(Spank her on the butt.),"(You spank her on the butt as she dangles on the rope.)  Ow!  Miss, I'm not a masochist.",Spank(),AllowSpank(),
0,,Can I have some suspension ropes of my own?,Only the best bondage masters can have such ropes to use everywhere.  You're not skilled enough.,,AllowAskRope(),
0,,Can I have some suspension ropes of my own?,"Yes, you're skilled enough to use these ropes everywhere.  (She gives you some ropes for suspension bondage.)",GetRope(),AllowGetRope(),
0,,Let's talk later.  (Leave her.),,DialogLeave(),,
10,20,Please go easy on me.,Sure.  (She picks a hemp rope and restrain your arms loosely.)  Try to free yourself.,RestrainPlayer(1),,
10,20,A regular tie I guess.,Of course.  (She picks a few hemp ropes and restrain your arms and legs.)  Time to struggle.,RestrainPlayer(2),,
10,20,Make it tight.,"Excellent.  (She gets long ropes, restrain your arms and suspend your feet from the ceiling.)  This won't be easy.",RestrainPlayer(3),,
10,20,Do your worst.,"Perfect.  (She gets long ropes, restrain your arms very tightly and suspend your feet from the ceiling.  She then gags you.)  Good luck.",RestrainPlayer(4),,
10,0,I've changed my mind.,It's fine.  Is there anything else you need?,,,
20,,,"Very good, you've made it.",,!Player.IsRestrained(),
20,,,"Don't give up, practice makes perfect.",,Player.IsRestrained(),
20,,I'm not sure I'll be able to escape.,"There's only one way, stop chatting and start working.",,Player.IsRestrained(),
20,,(Struggle playfully and giggle.),(She giggles.)  Well someone seems to be having fun.,SubComment(),Player.IsRestrained(),
20,,How do I get out?,"Try to grab the knots and struggle.  The more energy you put, the faster you should get out.",,Player.IsRestrained(),
20,,I surrender.  Please get me out.,"Struggle some more.  If you really cannot get out, I'll release you.",SurrenderToTeacher(),Player.IsRestrained(),
20,,(Whimper and make pleading eyes.),"Struggle some more.  If you really cannot get out, I'll release you.",SurrenderToTeacher(),Player.IsRestrained(),
20,,I'll escape on my own.  (Leave her.),,DialogLeave(),Player.IsRestrained(),
20,0,I've done it.  (Cheer and smile.),Well done.  I hope you learned some tricks.  Would you like to try again?,,!Player.IsRestrained(),
20,0,Piece of cake!  (Be cocky.),(She laughs.)  I hope you learned some tricks.  Would you like to try again?,DomComment(),!Player.IsRestrained(),
MaidRescue,,,(She struggles in her restraints.)  Can you release me?,,IsTeacherRestrained(),
MaidRescue,,,(She bows her head respectfully.)  Arigato to you and to the maid sorority.,,!IsTeacherRestrained(),
MaidRescue,,Do you need help?,"(She shakes her head yes.)  Yes please, can you release me?",,IsTeacherRestrained(),
MaidRescue,,Should I help your student?,"No, just release me and I'll take care of her.",,IsTeacherRestrained(),
MaidRescue,MaidRescueComplete,Is everything alright now?,"Yes, Domo Arigato.  Please inform the sorority that everything is fine at the Dojo.  (She dresses back.)",CompleteRescue(),!IsTeacherRestrained(),
MaidRescue,,What happened here?,"A Japanese girl started to mess with my ropes.  I've tried to stop her, but she threw me on the floor.  She stripped, restrained and left me dangling.",,"IsRescueScenario(""JapaneseGirl"")",
MaidRescue,,What happened here?,"A student dared me to try Shibari.  I thought she couldn't do it, but she did and left to get her camera.  I couldn't escape by myself.",,"IsRescueScenario(""RebelStudent"")",
MaidRescue,,What happened here?,"(She blushes.)  I wanted to try self-suspension and I somehow put the knots out of reach.  I got stuck like that, this is embarrassing.",,"IsRescueScenario(""SelfBondage"")",
MaidRescue,,What happened here?,Milady Head Mistress came in with customers and they wanted to try Shibari on me.  They had to hurry so they called the sorority to get me down.,,"IsRescueScenario(""HeadMistress"")",
MaidRescue,,(Spank her on the butt.),"(You spank her on the butt as she dangles on the rope.)  Ow!  Miss, I'm not a masochist.",Spank(),AllowSpank(),
MaidRescue,,I'll go get help.  (Leave her.),,DialogLeave(),,
MaidRescueComplete,0,Great!  A chore well done.,Absolutely.  Is there something I can do for you?,,,
MaidRescueComplete,0,No problem.  We are there to serve you.,This is great!  Is there something I can do for you?,"DialogChangeReputation(""Dominant"", -2)",,
MaidRescueComplete,0,"Alright, but be more careful next time.","I will, thanks.  Is there something I can do for you?","DialogChangeReputation(""Dominant"", 2)",,
