PlayerGagged,,,It seems that someone got kidnapped recently.  (She giggles.)  I can't understand you though.,,
40,,How do I win a kidnapping fight?,"To win, you must break your opponent willpower before getting broken yourself.  The first to break will submit and their arms can be restrained.",,
40,,How can I attack?,Both opponent attack at the same time and can try one move out of four.  Each move have strengths and weaknesses facing other moves.,,
40,41,Tell me of the different moves.,"Certainly.  We call them the ""BDSM"" moves, they are: Brute Force, Domination, Sneakiness and Manipulation.",,
40,49,How does move strength works?,"The stronger the move, the harder it will break your opponent willpower.",,
40,,What's a upper hand in a fight?,You get the upper hand when you do a good move against your opponent.  It will allow you to restrain your opponent or get free yourself.,,
40,,Can I use items that are not restraints?,"Yes, if you have items such as whips, crops or vibrators, they will give you a starting advantage on different moves.",,
40,0,I know everything I need.,Excellent.  Can I help you with anything else?,,
41,42,(Listen.),"Brute force is about using phiscal strength and endurance against your opponent.  You can slap, kick, punch and choke but don't go too far.",,
42,43,(Listen.),"Brute force is good versus Domination, fair versus Manipulation and bad versus Sneakiness.  It's halved if clothes are removed.",,
43,44,(Listen.),"Domination consists of intimidating, insulting and making your opponent feel weaker than you, breaking it's moral.",,
44,45,(Listen.),"Domination is good versus Manipulation, fair versus Sneakiness and bad versus Brute force.  Domination is halved when collared.",,
45,46,(Listen.),"Sneakiness means to ambush, trip, surprise, sneak, tickle or use rapid tricks to break your opponent.",,
46,47,(Listen.),"Sneakiness is good versus Brute force, fair versus Domination and bad versus Manipulation.  Sneakiness is halved if the feet are restrained.",,
47,48,(Listen.),"Manipulation is all about deceiving, fooling, charming and seducing your opponent so she will submit to you.",,
48,40,(Listen.),"Manipulation is good against Sneakiness, fair against Brute force and bad against Domination.  Manipulation is halved if you're gagged.",,
49,40,(Listen.),"Each time you use a move, it's strength will be halved so it's good to alternate.  Each moves slowly recuperate with time.",,
50,51,I want an easy bounty.,,TakeBounty(0),
50,51,Give me some challenge.,,TakeBounty(3),
50,51,I'll take the your top bounty.,,TakeBounty(6),
50,0,I've changed my mind.,Very well.  Is there something else you want?,,
51,0,I'll go get her.,Good!  Come back when you've kidnapped her for your reward.,,
51,0,That girl is in deep trouble!,Perfect!  Come back when you've kidnapped her for your reward.,"DialogChangeReputation(""Dominant"", 1)",
51,0,I'll try my best.,Alright.  Come back when you've kidnapped her for your reward.,"DialogChangeReputation(""Dominant"", -1)",
100,,,(She struggles for fun.)  I hope you enjoyed our practice fight.,,IsTrainerRestrained()
100,,,I hope you enjoyed our practice fight.,,!IsTrainerRestrained()
100,110,Now you know who's boss.,(She nods politely.)  Yes Miss.,"DialogChangeReputation(""Dominant"", 3)",
100,110,It was a fun match.,(She nods happily.)  Absolutely!,"DialogChangeReputation(""Dominant"", 1)",
100,110,I got lucky I guess.,(She shakes her head no.)  It's more than simple luck.,,
100,,Let's talk later.  (Leave her.),,DialogLeave(),
110,,,"(She struggles some more.)  If you release me, we can do another match.",,IsTrainerRestrained()
110,,,Would you like to talk some more?  Or do another fight?,,!IsTrainerRestrained()
110,,What can I do with my victims?,"Anything you want, as long as you don't go over their limits.  You can tickle, spank or even make love with them.",,
110,,Struggle some more!,(She struggles but doesn't really try to escape.)  It's all part of the fun.,,IsTrainerRestrained()
110,0,Let's chit chat.,What would you like to talk about?,ResetTrainer(),!IsTrainerRestrained()
110,10,I want to try another practice fight.,Great!  I can go easy on you or use all my tricks if you're confident enough.  How will it be?,ResetTrainer(),AllowKidnap()
110,,Let's talk later.  (Leave her.),,DialogLeave(),
200,210,Congratulations!  That was fun.,Yes!  I hope you've learned a few tricks.,,Player.CanTalk()
200,210,"Yes, but you're too strong for me.",You'll learn new tricks and you'll get stronger.,"DialogChangeReputation(""Dominant"", -2)",Player.CanTalk()
200,205,(Struggle to talk.),Do you need help with that gag?,,!Player.CanTalk()
200,205,(Blush and bow your head.),Poor sweetie.  Do you need help with that gag?,"DialogChangeReputation(""Dominant"", -2)",!Player.CanTalk()
205,210,(Nod in agreement.),Very well.  (She removes your gag.)  In a real kidnapping you won't be released that easily.,"DialogRemoveItem(""ItemMouth"")",
205,210,(Shake your head no.),"You're a good loser, I respect that.",,
210,220,I'll train to become the best kidnapper.,Impressive!  I can release you now or you can struggle if you prefer.,"DialogChangeReputation(""Dominant"", 1)",Player.CanTalk()
210,220,I will practice and get better.,Exactly!  I can release you now or you can struggle if you prefer.,,Player.CanTalk()
210,220,Maybe I'm not fit to be a kidnapper.,Nonsense!  I can release you now or you can struggle if you prefer.,"DialogChangeReputation(""Dominant"", -1)",Player.CanTalk()
210,220,(Struggle in your restrains.),You can struggle on your own or I can release you now if you prefer.,,
220,,,I can release you for another kidnapping if you want.,,
220,0,I'm already out!,Well done.  Would you like to talk or try again?,ResetTrainer(),!Player.IsRestrained()
220,0,Can you help me out?,(She releases you.)  Here you go.  Would you like to talk or try again?,ResetTrainer(),Player.IsRestrained()
220,0,(Make pleading eyes.),(She releases you.)  Here you go.  Would you like to talk or try again?,ResetTrainer(),Player.IsRestrained()
220,,(Leave her to struggle by yourself.),,DialogLeave(),
