PlayerGagged,,,(She checks your gag.)  This gag is a perfect fit Miss.,,
80,,Tell me about this club.,"Pandora's Box is a young BDSM club, but we are growing quickly.  We have the best Dominatrixes in town.",DialogRemove(),
80,,Who runs this club?,"The leaders are called the Dominatrixes, they wear golden leather, you cannot miss them.",DialogRemove(),
80,,Can anyone join?,"Yes, anyone that's open minded can enter.  Don't cause any trouble or you'll get punished.",DialogRemove(),
80,90,Can I visit?,Absolutely.  Do you need help on how to explore Pandora's Box or you're fine on your own?,,
90,,,(She does a maid curtsy.)  Is there anything else you'd like to know Miss?,,
90,,I can go anywhere?,"Yes and no.  If someone is on official duty, she might not let you pass.  Just go back from where you came from.",DialogRemove(),
90,,There are many levels?,Pandora's Box has three levels.  We are on the ground level.  You can go downstairs for the dungeons or upstairs for the chambers.,DialogRemove(),
90,,What if I get lost?,Just scream.  (She giggles.)  I know this place might be confusing but keep on walking and you'll find your way back.,DialogRemove(),
90,,Can you come with me?,"(She shakes her head no.)  I'm sorry Miss, I'm working at the entrance right now.  Maybe you'll find more help inside.",DialogRemove(),
90,,"I should be fine, thanks.  (Go explore.)",,CharacterAllowMove(),
95,,,It's always a pleasure to see you Miss.,,
95,,Take care.  (Go explore.),,CharacterAllowMove(),
100,,I will do what I want.,(She grumbles.)  The Dominatrixes will hunt you down like a pig.  You're in so much trouble.,DialogRemove(),
100,,(Strip her naked.),(She seems furious as you strip her naked.),CharacterNaked(),!CurrentCharacter.IsNaked()
100,105,(Wear her clothes.),(She stares at you as you quickly dress up as her.),"PlayerClothes(""Maid"")",CurrentCharacter.IsNaked()
100,110,(Lock her up in a broom closet.),(She tries to resist as you lock her up in a broom closet.)  (Your infiltration skill has gone up.),InfiltrationChange(30),
105,110,(Lock her up in a broom closet.),(She tries to resist as you lock her up in a broom closet.)  (Your infiltration skill has gone up.),InfiltrationChange(30),
110,,(Leave her.),,RemoveCurrentCharacter(),
200,210,Punishment?  What do you mean?,"You will understand and remember your lesson.  Don't try anything funny, a Dominatrix will take care of you soon.",,Player.CanTalk()
200,210,You're not punishing me girl.,"Of course, I won't do it myself, a Dominatrix will take care of you soon.",,Player.CanTalk()
200,210,I will accept it Miss.,"Very good, you're already learning.  A Dominatrix will take care of you soon.",,Player.CanTalk()
200,210,(Scream in your gag.),Stop making all that noise.  A Dominatrix will take care of you soon.,,!Player.CanTalk()
200,210,(Trash in your bondage.),Don't try to do anything funny.  A Dominatrix will take care of you soon.,,!Player.CanTalk()
200,210,(Bow your head and stay silent.),Good girl.  A Dominatrix will take care of you soon.,,!Player.CanTalk()
210,,Can we negotiate?,It's too late for that.  Just wait and be quiet.,DialogRemove(),Player.CanTalk()
210,,I will have my revenge.,You won't.  We will teach you a lesson that you will never forget.,DialogRemove(),Player.CanTalk()
210,,(Wait for the Dominatrix.),,PunishmentIntro(),
