Path,Line,EnglishGagged,EnglishDecoded,German,GermanGagged
C101_KinbakuClub_Lauren,GropeGag,"Whnt, thht'f fhr thh rhhgh. Fthp Hmt.","Wait, that's far too rough. Stop it.","Warte, das ist viel zu grob. Hör auf.","Whth, dh hft fhhn fh grhm. Hn hf."
C101_KinbakuClub_Lauren,LikeNipplesGag,Plmhfm bm gmntlm.,Please be gentle.,Bitte sei behutsam.,Bhtte fhi bhhdfhm.
C101_KinbakuClub_Lauren,NipplesGag,Lmt gh hf mm nhh pmrvmrt.,Let go of me you pervert.,"Lass mich los, du Perverse.","Lahh mihh hoh, hu Behwehwe."
C101_KinbakuClub_Lauren,GagKiss,Whht ghvm nhh thht Hmdmh?,What gave you that idea?,Was hat dir denn diesen Eindruck gegeben?,Wah had dih dihem Ahmdhug hehemem?
C101_KinbakuClub_Lauren,LikeSlapGag,Plmhfm bm gmntlm.,Please be gentle.,Bitte sei behutsam.,Bhtte fhi bhhdfhm.
C101_KinbakuClub_Lauren,SlapGag,whht whht whf thht fhr?,what was that for?,Wofür war das?,Whohüh wah dah?
C101_KinbakuClub_Lauren,RubGag,Hmn fthp thht. Dhn't mvmn thnng hbhht ghnng thmrm.,Hey stop that. Don't even think about going there.,"Hey, lass das. Denk nicht mal daran, das zu tun.","Hmn, lhh dh. Dhnn nhh mhl dhmh, dh zh dmm."
C101_KinbakuClub_Lauren,MasturbateGag,"Hgh, whht thm hmll dh nhh thnng nhh hrm dhnng? NH.","Agh, what the hell do you think you are doing? NO.","Agh, was zur Hölle glaubst du, was du da tust? NEIN.","Hgh, wh zhh Hmhm glmft dh, wh dh dh dhmt? NHMN."
C101_KinbakuClub_Lauren,3,hn nngm th mmmt nhh.,It's nice to meet you.,"Es ist nett, dich kennenzulernen.","Eh ihf nhhm, dhhf gmnmnzhlmnmn."
C101_KinbakuClub_Lauren,6,Plmhfm hntnm mm.,Please untie me.,Bitte binde mich los.,Bhtte bmndm mihh lhf.
C101_KinbakuClub_Lauren,131,"Nnghlm, plmhfm hmlp mm.","???, please help me.","???, bitte hilf mir.","Nnghlm, bhtte hmlf mh."
C101_KinbakuClub_Lauren,134,HMLP,HELP,HILFE!,HMLFM!
C101_KinbakuClub_Lauren,141,Lmt mm gh,Let me go,Lass mich gehen.,Lhhf mh ghnmn.
C101_KinbakuClub_Lauren,142,Mxpmgt whht?,Expect what?,Was erwartet?,Whf ehwhtht?
C101_KinbakuClub_Lauren,177,Gnngn?,???,???,???
C101_KinbakuClub_Lauren,180,Whht fthrnmf?,What stories?,Was für Geschichten?,Whf fhh Ghffiftmn?
C101_KinbakuClub_Lauren,183,Whht hrm nhh|ghnng th dh?,What are you going to do?,Was hast du vor?,Whf hft dh vh?
C101_KinbakuClub_Lauren,207,Whht dh nhh whnt nhw?,What do you want now?,Was willst du jetzt?,Whf wlft dh jhtft?
C101_KinbakuClub_Slaves,29,Mrngh Hm'm fhrrn,??? I'm sorry,??? Es tut mir leid,Mrngh Hf tht mhh lhhd
C101_KinbakuClub_Slaves,65,Whht?,What?,Was?,Whhs?
C101_KinbakuClub_Slaves,78,NH.,NO.,NEIN.,NHHN.
C101_KinbakuClub_Slaves,99,Whnt whht hrm|thhfm fhr?,Wait what are|those for?,"Moment, wozu|Handschuhe?","Mhmhnt, whfh Hhndfhmhh?"
C101_KinbakuClub_Slaves,108,nh thht|rmhlln tngglmf.,"??? [Eeek, no that|spot is sensitive.] | ah that reakky tickles","Ah, das kitzelt so.","Hh, dhs khfhlt sh."
C101_KinbakuClub_Slaves,110,Hhhrrgh|nhh bntgh.,Aaarrgh|you bitch.,"Aaarrgh,|du Schlampe.","Hhhrrgh,|dh Schlhmph."
C101_KinbakuClub_Slaves,115,"Plmhfm Jmnnh,|N whnt th ghm.","Please Jenna,|I want to cum.","Bitte, Jenna,|ich möchte kommen.","Bhtth, Jmnnh,|ihh mhhdh khmmhm."
C101_KinbakuClub_Slaves,117,"Plmhfm Jmnnh, Hm|rmhlln nmmd th ghm.","Please Jenna, I|really need to cum.","Bitte, Jenna, ich|muss wirklich kommen.","Bhtth, Jmnnh, ihh|mhhs whglhh khmmhm."
C101_KinbakuClub_Slaves,119,Bhnhnh.,Banana.,Banane.,Bhnhnh.
C101_KinbakuClub_Slaves,138,Ghn nhh rmmhvm|thnf ghg plmhfm,Can you remove that gag please,Kannst du bitte den Knebel abnehmen?,Khnnht dh bhtth dhn Knhbhl hbnhmhn?
C101_KinbakuClub_Slaves,166,Jmnnh.,Jenna.,Jenna.,Jmnnh.
C101_KinbakuClub_Slaves,167,Mnftrmff Jmnnh.,Mistress Jenna.,Herrin Jenna.,Hhrrhn Jmnnh.
C101_KinbakuClub_Slaves,169,Bntgh.,Bitch.,Schlampe.,Schlhmph.
C101_KinbakuClub_Slaves,172,N'm fhrrn.,I'm sorry.,Es tut mir leid.,Hs tht mhr lhhd.
C101_KinbakuClub_Slaves,173,NNhh hrm ftnll|thm bntgh.,You're still|a bitch.,Trotzdem Schlampe.,Thhtfdhm Schlhmph.
C101_KinbakuClub_Slaves,176,Thhng nhh.,Thank you.,Danke.,Dhnkh.
C101_KinbakuClub_Slaves,177,Jhft h lnttlm|mhrm plmhfm.,Just a little|more please.,Bitte nur noch|ein Bisschen mehr.,Bhtth nhr nhhh|hhn Bhsshhhn mhhr.
C101_KinbakuClub_SlaveTwin,44,Thhng nhh,Thank you,Danke.,Dhnkh.
C101_KinbakuClub_SlaveTwin,45,Ghn nhh rmlmhfm|mm nhw?,Can you release me now?,Kannst du mich|jetzt freilassen?,Khnnht dh mhch|jhft frhhlhsshn?
C101_KinbakuClub_SlaveTwin,48,"Whnt, dh nhh thnng|nhh'rm dhnng?","Wait, do you thing|you're doing?","Moment, was machst|du denn da?","Mhmhnt, whs mhchst|dh dhnn dh?"
C101_KinbakuClub_SlaveTwin,50,Whht dnd nhh|dh thht fhr?,What did you|do that for?,Warum hast|du das getan?,Whrhm hhst dh dhs ghthn?
C101_KinbakuClub_SlaveTwin,52,Rmmhvm thht rnght nhw.,Remove that right now.,Nimm das sofort weg.,Nhmm dhs shfhrt whg.
C101_KinbakuClub_SlaveTwin,54,Thhng nhh mnftrmff.,Thank you mistress.,"Danke, Herrin.","Dhnkh, Hhrrhn."
C101_KinbakuClub_SlaveTwin,172,Nh gmt hff mm.,No get off me.,"Nein, geh weg.","Nhhn, ghh whg."
C101_KinbakuClub_SlaveTwin,TickleGagged2,"Plmhfm hhvm mmrgn, MMRGN!","Please have mercy, MERCY!","Hab bitte Gnade, GNADE!","Hhb bhtth Gnhdh, GNHDH!"
C101_KinbakuClub_SlaveTwin,SpankGagged,Hwww. Whht whf thht fhr?,Ouch [Owww]. What was that for?,Autsch [Auuu]. Was sollte das denn?,"Hmmm! Whs shllth dhs dhnn?"
C101_KinbakuClub_RopeGroup,207,Hm thnng thnf Hmf|hlrmhdn mnhhgh.,I think this is|already enough.,"Ich glaube, das|reicht schon.","Hch glhhbh, dhs|rhhcht schhn."
C101_KinbakuClub_RopeGroup,247,Thm ghg fmmmf|mffmgtnvm.,The gag feels ???,???,???
C101_KinbakuClub_RopeGroup,325,"Nhh hhd bmttmr mhgm thnf|whrth whnlm, bntgh!","You had better make this|worth while, bitch!","Enttäusche mich ja nicht, Schlampe!","Mntthmschm mmch hm nhmmt, Schmhmph!"
C101_KinbakuClub_RopeGroup,348,HMLP MM!,HELP ME!,HELFT MIR!,HMLFT MMR!
C101_KinbakuClub_RopeGroup,392,"Thhtf mnhhgh,|lmt mm gh nhw.","That's enough, let me go now.","Das reicht, lass mich jetzt frei.","Dhs rhcht, lhss mhch jhtft frhh."
C101_KinbakuClub_RopeGroup,393,"Thhng nhh, thnf|hhgtnm Hmf hwfhmm.",???,???,???
C101_KinbakuClub_RopeGroup,395,Wnll nhh lmt|mm gh nhw?,Will you let me go now?,Lässt du mich jetzt frei?,Lhsst dh mhch jhtft frhh?
C101_KinbakuClub_RopeGroup,396,Plmhfm lmt mm gh.|Hm'll bm h ghhd gnrl.,Please let me go. I'll be a good girl.,Bitte lass mich frei. Ich bin ein gutes Mädchen.,Bhthh lhss mhch frhh. Hch bhn hn ghths Mhdchhn.
C101_KinbakuClub_RopeGroup,402,N fhpphfm fh,???,???,???
C101_KinbakuClub_RopeGroup,403,"Plmhfm, Hm'm bmggnng|nhh. Lmt mm gh.","Please, I'm begging you. Let me go.","Bitte, ich flehe dich an. Lass mich frei.","Bhtth, hch flhhh dhch hn. Lhss mhch frhh."
C101_KinbakuClub_RopeGroup,404,Nh mhrm plhfm.|Hntnm mm.,No more please. Untie me.,Bitte aufhören. Binde mich los.,Bhtth hhfhhrhn. Bhndh mhch lhs.
C101_KinbakuClub_RopeGroup,405,Nhh rmhlln thnng|Hm'm fhpmr ghtm?,You really think I'm super cute?,Du findest mich wirklich supersüß?,Dh fhndhst mhch whrklhch shphrshß?
C101_KinbakuClub_RopeGroup,409,"HMLP, Hmt'f Hmhthmr!","HELP, it's Heather!","HILFE, es ist Heather!","HHLFH, hs hst Hmhthmr!"
C101_KinbakuClub_RopeGroup,447,Nh Hm dhn't.,No I don't.,"Nein, tu ich nicht.","Nhhn, th hch nhcht."
C101_KinbakuClub_RopeGroup,459,"Gh fhgg nhhrfmlf, bntgh!","Go fuck yourself, bitch!","Fick dich ins Knie, Schlampe!","Fhck dhch hns Knhm, Schlhmph!"
C101_KinbakuClub_RopeGroup,487,Nh Hm hhvmn't!,No I haven't!,Gar nicht wahr!,Ghr nhcht whhr!
C101_KinbakuClub_RopeGroup,490,N'm fh fhrrn mnff.,I'm so sorry miss,"Tut mir leid, Miss.","Tht mhr lhhd, Mhff."
