PlayerGagged,,,That gag looks great on you.  It sounds good also.  (She laughs.),,
52,120,"Yes, can you release me?","I could release you, but there's a price.",,
52,120,"Yes, please Miss.","You're a polite submissive.  I could release you, but there's a price.","DialogChangeReputation(""Dominant"", -2)",
52,120,"Yes, get me out now.","You're a pushy submissive.  I could release you, but there's a price.","DialogChangeReputation(""Dominant"", 2)",
100,110,Why does it matter?,(She takes a step back.)  I'm guessing you restrained yourself and you can't get out?  You're a bondage sub?,"DialogChangeReputation(""Dominant"", 2)",
100,110,Nobody.  I've restrained myself.,So you were enjoying self-bondage and you can't get out?  You're a bondage sub?,,
100,110,(Blush and bow your head.),"Don't be shy, you restrained yourself and you can't get out?  You're a bondage sub?","DialogChangeReputation(""Dominant"", -2)",
110,120,No!  I'm a journalist.,"(She laughs.)  Yeah, yeah, and I'm Head Mistress Sophie.  I could release you, but there's a price.",,
110,120,What's a bondage sub?,"(She caresses your cheek.)  It's you little submissive.  I could release you, but there's a price.",,
110,120,I'm not a club member.,"Of course, you look like a stranger.  (She laughs.)  I could release you, but there's a price.",,
110,120,I'm here for an interview.,"(She giggles.)  And you're interviewing the X cross?  I could release you, but there's a price.",,
120,130,A price?  You want money?,I don't want any money.  What do you have to offer?,,
120,130,What do you want?,I don't want any money.  What do you have to offer?,,
130,,,(The cleaning maid looks at you.)  What do you have to offer for your freedom?,,
130,,I don't know!,Think harder girl.,DialogRemove(),
130,,This is a big mistake.,"I don't think so.  Deep in your heart, you wanted to get into that situation.",DialogRemove(),
130,140,Would you like to cum?,(She smiles.)  You think you could do that?  An orgasm for your freedom sounds like a fair deal.,"DoActivity(""InterviewOfferCum"")",
130,140,I could offer an orgasm.,(She smiles.)  You think you could do that?  An orgasm for your freedom sounds like a fair deal.,"DoActivity(""InterviewOfferCum"")",
130,150,Do you need help with chores?,"(She ponders.)  Fine.  If you clean this place with me, I'll let you go.  Do we have a deal?",,
130,150,I could clean with you.,"(She ponders.)  Fine.  If you clean this place with me, I'll let you go.  Do we have a deal?",,
130,,Let me think.  (Leave her.),,DialogLeave(),
140,141,It would be my pleasure Miss.,"You're a good sub aren't you?  You better please me fast, I have work to do before the Mistress comes.","DialogChangeReputation(""Dominant"", -2)",
140,141,It's a kinky deal for sure.,A great deal!  But you better do it quick.  I have work to do before the Mistress comes.,,
140,141,"Get naked, it will be easy.",Aren't you a pushy sub?  You better do it quick.  I have work to do before the Mistress comes.,"DialogChangeReputation(""Dominant"", 2)",
141,142,I'll do my best.,(She checks the clock and quickly gets naked.)  Now I need to prepare you to work.,"DoActivity(""InterviewMaidStrip"")",
141,142,(Nod rapidly.),(She checks the clock and quickly gets naked.)  Now I need to prepare you to work.,"DoActivity(""InterviewMaidStrip"")",
142,143,Very well Miss.,"(She restrains you on your knees, facing her vulva.)  Time to pay your dept.","DoActivity(""InterviewRestrainForOral"")",
142,143,(Lick your lips.),"(She restrains you on your knees, facing her vulva.)  Time to pay your dept.","DoActivity(""InterviewRestrainForOral"")",
143,,,Don't get lazy subbie girl.  I want my orgasm.  (The camera zooms on you.),,
143,,(Kiss her vulva.),(The camera zooms on you as you kiss her vulva slowly.),"DoActivity(""InterviewMaidOral1"")",
143,,(Lick her clitoris.),(You lick her clitoris slowly as she moans from the pleasure.),"DoActivity(""InterviewMaidOral2"")",
143,,(Lick her pussy lips.),(You lick her pussy lips as she trembles and grabs on your hair.),"DoActivity(""InterviewMaidOral3"")",
143,,(Push your tongue inside.),(You push your tongue inside as the camera zooms on her vagina.),"DoActivity(""InterviewMaidOral4"")",
143,,(Explore inside.),"(You explore deep inside with your tongue, as she jerks from the ecstasy.)","DoActivity(""InterviewMaidOral5"")",
143,,This is unfair!,BDSM isn't fair girl.  Get to work.  (She tightens your cuffs.),"DoActivity(""InterviewMaidTighten"")",
143,,(Look around.),,DialogLeave(),
150,,,"(The cleaning maid looks at you.)  If you clean this place with me, I'll let you go.  Do we have a deal?",,
150,151,"Very well, let me go and I'll clean with you.","No, no, no, I will let you go when you're done cleaning.",,
150,151,We have a deal.  Now release me.,"No, no, no, I will let you go when you're done cleaning.",,
150,,Let me think.  (Leave her.),,DialogLeave(),
151,152,That won't work.,"Sure, it will.  Let me show you.  (She restrains you securely and straps a duster gag.)","DoActivity(""InterviewRestrainMaid"")",
151,152,Are you nuts?,I'll teach you some manners.  (She restrains you securely and straps a duster gag.),"DoActivity(""InterviewRestrainMaid"")",
151,152,How is that possible?,Let me demonstrate.  (She restrains you securely and straps a duster gag.),"DoActivity(""InterviewRestrainMaid"")",
152,153,(Struggle in your restraints.),You're not getting out.  (She spanks your butt.)  Now start dusting.,,
152,153,(Grumble in the gag.),Grumbling will not help you to get out.  Now start dusting.,,
152,153,(Bow your head.),Good girl.  (She pets your head.)  Now start dusting.,,
153,,,(The cleaning maid looks at you.)  Dust harder girl.,,
153,,(Dust her outfit.),(You slowly dust her outfit as she moans and exposes her breast for the camera.),"DoActivity(""InterviewDustOutfit"")",
153,,(Dust her feet.),(You kneel down and dust her feet clumsily and she smiles.)  Good girl.,"DoActivity(""InterviewDustFeet"")",
153,,(Dust the room.),(You dust randomly in the room as the camera follows you.),"DoActivity(""InterviewDustRoom"")",
153,,(Whimper for freedom.),(You whimper for freedom as she laughs at you.)  Get dusting girl!,"DoActivity(""InterviewWhimper"")",
153,,(Leave her.),,DialogLeave(),
200,210,Control?  What kind of control?,"(She giggles.)  Dominants like you can order submissives around, get them bound and gagged.  They can also control them sexually.","DialogChangeReputation(""Dominant"", -2)",
200,210,Control is my middle name.,"(She bows her head.)  Dominants like you can order submissives around, get them bound and gagged.  They can also control them sexually.","DialogChangeReputation(""Dominant"", 2)",
200,210,Being in control sounds good.,"(She blushes.)  Dominants like you can order submissives around, get them bound and gagged.  They can also control them sexually.",,
210,220,Submissives like you?,(She freezes for a few seconds and blushes.)  Well...  Miss...  I did...  I did not mean...,,
210,220,"You like to be controlled, don't you?",(She freezes for a few seconds and blushes.)  Well...  Miss...  I did...  I did not mean...,,
220,230,Submit to me now.,(She bows her head and slowly gets on her knees.)  Yes Miss.  I'm under your control.,"DoActivity(""InterviewMaidKneel"")",
220,230,What does your submissive heart tell you?,(She bows her head and slowly gets on her knees.)  I feel like getting on my knees for you Miss.,"DoActivity(""InterviewMaidKneel"")",
220,230,"Get on your knees, girl.",(She bows her head and slowly gets on her knees.)  Yes Miss.  Of course.,"DoActivity(""InterviewMaidKneel"")",
220,230,(Point to the ground.),"(She stays silent, bows her head and slowly gets on her knees.)","DoActivity(""InterviewMaidKneel"")",
230,240,You belong to me now.,(She bows her head.)  How can I serve you Miss?,,
230,240,I've always wanted a maid.,(She looks up at you and nods.)  How can I serve you Miss?,,
230,240,(Make an evil grin.),(She gulps.)  How can I serve you Miss?,,
240,,,How can I serve you Miss?,,
240,,Bark for me bitch.,(She lowers her head and barks for you.)  Woof!  Woof!  Woof!,"DoActivity(""InterviewMaidBark"")","CanDoActivity(""InterviewMaidDusterGag"")"
240,,(Use a duster gag on her.),(She whimpers as you strap a duster gag on her mouth.),"DoActivity(""InterviewMaidDusterGag"")","CanDoActivity(""InterviewMaidDusterGag"")"
240,,(Make her clean the room.),(She crawls on her knees and cleans the room as the camera follows her.),"DoActivity(""InterviewMaidClean"")","!CanDoActivity(""InterviewMaidDusterGag"")"
240,,(Expose her breast.),(You slowly grab her breast and reveal them to the camera.  You expose them out of her outfit.),"DoActivity(""InterviewDustOutfit"")","CanDoActivity(""InterviewMaidBreast"")"
240,,(Massage her breast.),(You cup her breast and massage it slowly as she moans from the pleasure.),"DoActivity(""InterviewMaidMassageBreast"")","!CanDoActivity(""InterviewMaidBreast"")"
240,,(Lock her in cuffs.),"(You lock cuffs on her arms and legs, then attach them behind her back.)","DoActivity(""InterviewMaidCuffs"")","CanDoActivity(""InterviewMaidCuffs"")"
240,250,(Strap her on the X cross.),(You pick her up and strap her on the huge X cross as she struggles sensually.),"DoActivity(""InterviewMaidCross"")","!CanDoActivity(""InterviewMaidCuffs"")"
240,,(Leave her.),,DialogLeave(),
250,,,(She struggles playfully on the cross and moans.),,
250,,(Slap her butt.),"(You raise the hem of her outfit, revealing her butt to the camera.  You then slap it a few times as she jumps with each impact.)","DoActivity(""InterviewMaidSlapButt"")",
250,,(French kiss her.),(You French kiss her lovingly as she struggles on the X cross very slowly.),"DoActivity(""InterviewMaidFrenchKiss"")","CanDoActivity(""InterviewMaidDusterGag"")"
250,,(Use a duster gag on her.),(She whimpers as you strap a duster gag on her mouth.),"DoActivity(""InterviewMaidDusterGag"")","CanDoActivity(""InterviewMaidDusterGag"")"
250,,(Expose her breast.),(You slowly grab her breast and reveal them to the camera.  You expose them out of her outfit.),"DoActivity(""InterviewDustOutfit"")","CanDoActivity(""InterviewMaidBreast"")"
250,,(Massage her breast.),(You cup her breast and massage it slowly as she moans from the pleasure.),"DoActivity(""InterviewMaidMassageBreast"")","!CanDoActivity(""InterviewMaidBreast"")"
250,,(Pinch her nipples.),(You pinch her nipples with both hands and twist slowly as she jerks from the pain.),"DoActivity(""InterviewMaidPinchNipples"")","!CanDoActivity(""InterviewMaidBreast"")"
250,,(Masturbate her.),(You slide your hand under her outfit and masturbate her.  The camera goes down and films your hand as she gets really wet.),"DoActivity(""InterviewMaidCrossMasturbate"")",
250,,(Leave her.),,DialogLeave(),
300,,,(The maid seems very nervous.  She stares at the Mistress and doesn't notice you anymore.),,
300,,(Leave her.),,DialogLeave(),
310,,,(The maid is fully restrained.  It's a good opportunity to take pictures for the interview.),,
310,,(Step back and take pictures.),(You take a few steps back and snap a few pictures of the maid getting teased by the Mistress.),"DoActivity(""InterviewMaidPictureBack"")",
310,,(Get closer and take pictures.),(You get closer and take pictures or her tight restraints and her heavy struggling.),"DoActivity(""InterviewMaidPictureClose"")",
310,,(Leave her.),,DialogLeave(),
320,,,(The maid is fully restrained.  The Mistress has more items you could use on her.),,
320,,(Step back and take pictures.),(You take a few steps back and snap a few pictures of the maid getting teased by the Mistress.),"DoActivity(""InterviewMaidPictureBack"")",
320,,(Get closer and take pictures.),(You get closer and take pictures or her tight restraints and her heavy struggling.),"DoActivity(""InterviewMaidPictureClose"")",
320,,(Try new restraints on her.),(The Mistress gives you new restraints to try on her as the camera follows the scene.),"DoActivity(""InterviewMaidRestainedNew"")",
320,,(Spank her.),(The Mistress claps her hands as you spank her pretty hard.),"DoActivity(""InterviewMaidRestainedSpank"")",
320,,(Make out with her.),(You get really close to her and starts to kiss and caress her wherever you can.),"DoActivity(""InterviewMaidRestainedMakeOut"")",
320,,(Leave her.),,DialogLeave(),
330,,,(The maid looks at you and giggles.),,
330,,(Cuddle with her.),"(You clumsily rub on each other, sharing a kinky bondage cuddle.)","DoActivity(""InterviewMaidRestainedCuddle"")",
330,,(Leave her.),,DialogLeave(),
400,,,(The maid seems to be in pain from the spanking.)  What did we do to deserve that?,,
400,401,(Spank her some more.),(The Mistress laughs and let you spank her a few times before splitting you two.)  That's enough.,"DoActivity(""InterviewMaidRestainedSpank"")",
400,401,(Give her a hug.),(You give her a long naked hug.  The Mistress splits you two after a while.)  That's enough.,"DoActivity(""InterviewMaidRestainedHug"")",
400,402,(Whisper something in her ear.),(You get close to her so you can whisper privately.),,
400,,(Leave her.),,DialogLeave(),
401,,,(The maid seems to be in pain from the spanking.)  I don't think we should talk.,,
401,,(Leave her.),,DialogLeave(),
402,403,What's going on here?,We're going to be punished by Mistress.  Do you think we deserve it?,,
402,403,Is she really going to punish us?,I think she will.  Do you think we deserve it?,,
403,401,We do deserve it.,"Maybe you're right, I hope it won't hurt too much.  Let's stop whispering, she's looking at us.",,
403,401,We don't deserve it.,"Maybe you're right, BDSM isn't fair.  Let's stop whispering, she's looking at us.",,
403,404,We should turn the tables.,(She giggles.)  You think we could do it my friend?  We might get in trouble.  What's your plan?,,"CanDoActivity(""InterviewMaidFriendship4"")"
403,401,We should turn the tables.,"(She giggles.)  Don't be ridiculous, we'll get in trouble.  Let's stop whispering, she's looking at us.",,"!CanDoActivity(""InterviewMaidFriendship4"")"
404,401,I run while you keep her busy.,"That's your plan?  Forget it!  Let's stop whispering, she's looking at us.",,
404,405,I push her on the cross while you put her in cuffs.,"That could work.  We will get in trouble for sure, but it might be worth it.  We really do it my friend?",,
404,401,I don't have a plan.,"That won't work then.  Let's stop whispering, she's looking at us.",,
405,500,Let's do it!  (Try to push the Mistress on the cross.),,"DoActivity(""InterviewMistressOnCross"")",
405,401,I'm too nervous.,"We should forget it then.  Let's stop whispering, she's looking at us.",,
410,,,(The maid sighs in her gag and looks at you.),,
410,411,(Spank her.),(The Mistress laughs and let you spank her a few times before splitting you two.)  That's enough.,"DoActivity(""InterviewMaidRestainedSpank"")",
410,411,(Give her a hug.),(You give her a long naked hug.  The Mistress splits you two after a while.)  That's enough.,"DoActivity(""InterviewMaidRestainedHug"")",
410,,(Leave her.),,DialogLeave(),
411,,,(The maid stares at the Mistress and doesn't focus on you.),,
411,,(Leave her.),,DialogLeave(),
500,,,This is great!  We did it DialogPlayerName!  What should we do with the Mistress?,,
500,,We are so devious.,We make the best duo my friend.  But what should we do with her?,DialogRemove(),
500,501,We could torture her.,"This is devious, I love it.  What's your favorite torture weapon?",,
500,,(Kiss her.),(You slowly French kiss each other in front of the raging Mistress.),"DoActivity(""InterviewMaidTurnTablesKiss"")",
500,,(Leave her.),,DialogLeave(),
501,,,What's your favorite torture weapon?,,
501,,No need for any weapon.,(She nods as you both let go of your torture weapons.),"DoActivity(""InterviewMaidNoWeapon"")","CanDoActivity(""InterviewMaidNoWeapon"")"
501,,The crop.,(She nods and gets two leather crops.  She then turns around to the Mistress with a smile.),"DoActivity(""InterviewMaidGetCrop"")","CanDoActivity(""InterviewMaidGetCrop"")"
501,,The whip.,(She nods and gets two whips.  She then turns around to the Mistress with a grin.),"DoActivity(""InterviewMaidGetWhip"")","CanDoActivity(""InterviewMaidGetWhip"")"
501,,The cattle prod.,(She nods and gets two cattle prods.  She then turns around to the Mistress with a wicked smile.),"DoActivity(""InterviewMaidGetProd"")","CanDoActivity(""InterviewMaidGetProd"")"
501,,(Leave her.),,DialogLeave(),
