PlayerGagged,,,"Girl, I'm not going to try to translate your mumbles.",,
80,90,(Whimper silently from the pain.),"I like whimpers, but there's one sound I love best.  (She starts to caress your leg.)",,
90,100,That feels good.,"Forget it slave, you're not getting any fun with that device on.  (She laughs.)  Time for your punishment!",,Player.IsVulvaChaste()
90,100,"Oh yes, fuck me.","Forget it slave, you're not getting any fun with that device on.  (She laughs.)  Time for your punishment!",,Player.IsVulvaChaste()
90,100,What are you doing?,"It doesn't matter, you're not getting any fun with that device on.  (She laughs.)  Time for your punishment!",,Player.IsVulvaChaste()
90,100,(Moan silently.),"Forget it slave, you're not getting any fun with that device on.  (She laughs.)  Time for your punishment!",,Player.IsVulvaChaste()
90,100,That feels good.,"(She masturbates you skillfully, giving you an orgasm in front of the camera.)  Enough!  Time for your punishment.","DoActivity(""InterviewMistressMasturbatePlayer"")",!Player.IsVulvaChaste()
90,100,"Oh yes, fuck me.","(She masturbates you skillfully, giving you an orgasm in front of the camera.)  Enough!  Time for your punishment.","DoActivity(""InterviewMistressMasturbatePlayer"")",!Player.IsVulvaChaste()
90,100,What are you doing?,"(She masturbates you skillfully, giving you an orgasm in front of the camera.)  Enough!  Time for your punishment.","DoActivity(""InterviewMistressMasturbatePlayer"")",!Player.IsVulvaChaste()
90,100,(Moan silently.),"(She masturbates you skillfully, giving you an orgasm in front of the camera.)  Enough!  Time for your punishment.","DoActivity(""InterviewMistressMasturbatePlayer"")",!Player.IsVulvaChaste()
100,,Isn't it enough already?,,"DoActivity(""InterviewMistressPunishPlayer"")",
100,,This is a huge mistake.,,"DoActivity(""InterviewMistressPunishPlayer"")",
100,,Yes Mistress.,,"DoActivity(""InterviewMistressPunishPlayer"")",
PunishmentIntroClubSlave,,,"For the next hour, you two will pay back your bad deeds by working as club slaves.",,
PunishmentClubSlave,200,A club slave Miss?,"You know the drill, you will wander naked in the club, serving our naughty customers.",,
PunishmentClubSlave,200,What is that?,"Don't pretend you don't know, you will wander naked in the club, serving our naughty customers.",,
PunishmentClubSlave,200,You can't do that!,"Oh yes, I can.  You will wander naked in the club, serving our naughty customers.",,
200,210,This is inhumane!,I've heard enough from you.  (She uses a gag on you.),"DoActivity(""InterviewMistressGagBoth"")",
200,210,Very well.,"Good girl, but now I've heard enough from you.  (She uses a gag on you.)","DoActivity(""InterviewMistressGagBoth"")",
210,,What the hell?,,,
210,220,(Try to scream.),(She laughs at your screams.)  Isn't the sound of silence wonderful?  (She picks your camera.)  Is that yours?,"DoActivity(""InterviewMistressGetCamera"")",
210,220,(Adjust to the gag.),(She smirks.)  Isn't the sound of silence wonderful?  (She picks your camera.)  Is that yours?,"DoActivity(""InterviewMistressGetCamera"")",
210,220,(Stay silent.),(She smiles.)  Isn't the sound of silence wonderful?  (She picks your camera.)  Is that yours?,"DoActivity(""InterviewMistressGetCamera"")",
220,230,(Nod yes.),Great!  You don't mind if I take a few pictures then?  (She snaps a few nude pictures of you and the maid.),"DoActivity(""InterviewMistressUseCamera"")",
220,230,(Shake your head no.),No?  I'll take a few pictures then.  (She snaps a few nude pictures of you and the maid.),"DoActivity(""InterviewMistressUseCamera"")",
230,240,(Protest in your gag.),These are great pictures.  I'll send them to the City News team.  I'm doing the interview with them once I'm done with you two.,"DoActivity(""InterviewMistressSendPictures"")",
230,240,(Stay silent.),These are great pictures.  I'll send them to the City News team.  I'm doing the interview with them once I'm done with you two.,"DoActivity(""InterviewMistressSendPictures"")",
240,250,(Blush and stay silent.),"(She sends the pictures as you stay silent.)  Alright, let's get you two ready to serve.  (She looks in a leather bag.)","DialogChangeReputation(""Dominant"", -2)",
240,250,(Grumble loudly.),"(She sends the pictures as you grumble loudly in the gag.)  Alright, let's get you two ready to serve.  (She looks in a leather bag.)","DialogChangeReputation(""Dominant"", 2)",
240,250,(Shake your head no.),"(She sends the pictures as you seem to disagree.)  Alright, let's get you two ready to serve.  (She looks in a leather bag.)",,
250,,,You're almost ready to serve our customers.  (She searches in a leather bag.),,
250,260,(Check in her bag.),(There are lots of restraints and gags in the bag.  The camera zooms on them.)  I found something for you two!,"DoActivity(""InterviewMistressCheckBag"")",
250,260,(Remove your gag.),"(She quickly pounces on you, slaps your face and prevents you from removing the gag.)  I found something for you two!","DoActivity(""InterviewMistressTryRemoveGag"")",
250,,(Check at the maid.),,DialogLeave(),
260,270,(Give her a curious look.),(She gets two green slave collars and two thick leather hoods.)  You will be mute and blind for your trip.,,
260,270,(Look away.),(She gets two green slave collars and two thick leather hoods.)  You will be mute and blind for your trip.,,
270,280,(Beg with your eyes.),"(She locks the hoods and collars on you and the maid, leaving you blind.) Time to go!  (She leaves the camera on you.)","DoActivity(""InterviewMistressHood"")",
270,280,(Shake your head no.),"(She locks the hoods and collars on you and the maid, leaving you blind.) Time to go!  (She leaves the camera on you.)","DoActivity(""InterviewMistressHood"")",
270,280,(Nod slowly.),"(She locks the hoods and collars on you and the maid, leaving you blind.) Time to go!  (She leaves the camera on you.)","DoActivity(""InterviewMistressHood"")",
280,290,(Give her the middle finger.),"(She gets really angry and pushes you out of the dungeon.  You hear people laughing, you're probably in the main hall.)","DialogChangeReputation(""Dominant"", 3)",
280,290,(Try to keep your balance.),"(She leads you out of the dungeon.  You hear people laughing, you're probably in the main hall.)",,
280,290,(Falls on your knees and cry.),"(She picks you up and leads you out of the dungeon.  You hear people laughing, you're probably in the main hall.)","DialogChangeReputation(""Dominant"", -3)",
290,,(Beg for help.),"(As you beg for help, a little group surrounds you to take pictures with your camera and their phones.)","DoActivity(""InterviewMistressPunishment1"")",
290,,(Try to remove the hood.),(You struggle to remove the hood in vain.  You feel like someone is messing with it to make it harder.),"DoActivity(""InterviewMistressPunishment2"")",
290,,(Walk around.),(You bump into walls and laughing girls.  They fondle and spank you as you walk by.),"DoActivity(""InterviewMistressPunishment3"")",
290,,(Wait patiently.),"(You try to wait but girls come to see you, they take selfies with you using your own camera.)","DoActivity(""InterviewMistressPunishment4"")",
PunishmentIntroBondage,,,"You two need to learn about discipline, and some strict, very strict bondage will help.",,
PunishmentBondage,300,Strict bondage?,No!  Very strict bondage.  Give me your hands girl.,,
PunishmentBondage,300,I doubt it will help.,I'll be the judge on that.  Give me your hands girl.,,
PunishmentBondage,300,If you think so.,Absolutely.  Give me your hands girl.,,
300,,(TO DO),(TO DO),,
PunishmentIntroChastity,,,You two will wear some special undies for a while.  Steel undies.,,
PunishmentChastity,400,Steel undies?,You know what I'm talking about.  You will both be locked into chastity belts.,,
PunishmentChastity,400,What are you talking about?,You know what I'm talking about.  You will both be locked into chastity belts.,,
PunishmentChastity,400,Not a chastity belt!,Damn right.  You will both be locked into chastity belts.,,
400,,(TO DO),(TO DO),,
500,,,(She seems furious at you two.)  How dare you?  Release me now or you'll be in trouble for years!,,
500,501,Calm down girl.  I'm in charge now.,(She struggles but fails to get free.)  I'm not calming down.  You two will be punished severely.,"DialogChangeReputation(""Dominant"", 4)",
500,501,Are you comfy on that cross?,(She struggles but fails to get out.)  Do I look comfy?  You two will be punished severley.,,
500,501,You're the one in trouble.,(She struggles but fails to get out.)  Wait until I get out.  You two will be punished severely.,"DialogChangeReputation(""Dominant"", 2)",
500,,(Leave her.),,DialogLeave(),
501,,,(She struggles in vain.)  You two will be punished for years.,,
501,,(Gag her.),(The maid cheers and gives you a gag to use on her.),"DoActivity(""InterviewMistressGag"")","CanDoActivity(""InterviewMistressGag"")"
501,,(Ungag her.),"(You remove her gag but she's still furious.)  Cherish your freedom girls, it will end very soon.","DoActivity(""InterviewMistressUngag"")","!CanDoActivity(""InterviewMistressGag"")"
501,,(Tease her.),"(You rub yourself against her, caress her and kiss her slowly.  She bites her lips not to moan.)","DoActivity(""InterviewMistressTease"")",
501,,(Spank her.),(You both take turns to spank her butt as she struggles madly.)  You two are getting deeper in trouble.,"DoActivity(""InterviewMistressSpank"")",
501,,(Use the crop on her.),(You both hit her pretty hard using your crops.)  Ow!  Stop it!,"DoActivity(""InterviewMistressCrop"")","CanDoActivity(""InterviewMistressCrop"")"
501,,(Use the whip on her.),(You take turns to whip her as she screams with each lash.)  Aaargh!  Get me out and I'll show you how to use a whip.,"DoActivity(""InterviewMistressWhip"")","CanDoActivity(""InterviewMistressWhip"")"
501,,(Use the cattle prod on her.),(You and the maid zap her with the cattle prod as the camera zooms in.)  Careful with these!,"DoActivity(""InterviewMistressProd"")","CanDoActivity(""InterviewMistressProd"")"
501,,(Masturbate in front of her.),(You masturbate and moan in front of her as she gets angrier.)  Get me out now!,"DoActivity(""InterviewMistressMasturbate"")",
501,,(Make out with the maid.),(You and the maid start to make out in front of her as she trashes in her bondage.),"DoActivity(""InterviewMistressMakeOut"")",
501,,(Leave her.),,DialogLeave(),
1000,1010,"It's fine, I can do the interview like that.",Well aren't you a kinky journalist?  (She spanks your butt.)  Let's do that interview.,"DoActivity(""InterviewMistressSpankPlayer"")",
1000,1010,"Yes, I should dress back up.",(You dress back up slowly as the camera follows your moves.)  Let's do that interview.,"DoActivity(""InterviewMistressChangePlayerBack"")",
1010,1020,What about the maid?,She will get punished after the interview.  (She ponders.)  Unless you want to witness her punishment while we talk.,,
1010,1020,Is the maid staying for the interview?,"She's not leaving, she will get punished after the interview.  (She ponders.)  Unless you want to witness her punishment while we talk.",,
1010,1020,(Look at the maid.),"Don't worry about her, she will get punished after the interview.  (She ponders.)  Unless you want to witness her punishment while we talk.",,
1020,1030,That's an interesting idea.,Grab your camera!  It will be a spicy interview.,,
1020,1030,Punishment Miss?  Isn't it cruel?,Nonsense.  Grab your camera girl!  It will be a spicy interview.,"DialogChangeReputation(""Dominant"", -2)",
1020,1030,Great idea!  Can I punish her also?,You can participate.  Grab your camera!  It will be a spicy interview.,"DialogChangeReputation(""Dominant"", 2)",
1030,1040,(Get your camera to snap pictures.),(The Mistress grabs the maid and puts her into heavy bondage so you can take pictures.),"DoActivity(""InterviewMistressTakePicture"")","!CanDoActivity(""InterviewTakePicture"")"
1030,1040,(Hold your camera to snap pictures.),(The Mistress grabs the maid and puts her into heavy bondage so you can take pictures.),"DoActivity(""InterviewMistressTakePicture"")","CanDoActivity(""InterviewTakePicture"")"
1040,,,Do you have enough pictures?,,
1040,,(Look at the maid.),,DialogLeave(),
1040,1050,I have all the pictures I need.,"Very good, now let's talk about the Bondage Club while our victim is struggling.",,
1050,,,Let's continue this interview.,,
1050,,Tell me about the club.,We are an adult only club who shares a passion on BDSM.  Our members are open minded and support each other.,,
1050,,What is the main club activity?,"Bondage is our speciality, couldn't you tell?  (She checks on the maid and tightens her restraints.)","DoActivity(""InterviewMistressTightenMaid"")",
1050,,Can strangers come anytime?,"Strangers are always welcome, they will be greeted by our wonderful maid staff, when they don't get in trouble.",,
1050,,What's the price to become a member?,"Becoming a member is free, but we have a store and many activities to make profits.",,
1050,,Is the club violent?,"We do use force to punish, but within the victim limits.  (She grabs the maid and spanks her a few times for the camera.)","DoActivity(""InterviewMistressSpankMaid"")",
1050,,Who owns the club?,The Mistresses own the club.  Members can become Mistresses with time and work with us to improve it.,,
1050,1060,That's all the questions I had.,"Very well, would you like to experience the dungeon then?  (She gets a few more restraints and shows them.)","DoActivity(""InterviewMistressPrepareDungeon"")",
1050,,(Look at the maid.),,DialogLeave(),
1060,1070,What do you mean?,There's no better way to learn about the club than to restrain someone or get restrained yourself.,,
1060,1070,I'd love to punish your maid.,"Excellent, there's no better way to learn about the club than to restrain someone or get restrained yourself.","DialogChangeReputation(""Dominant"", 2)",
1060,1070,This is scary.,"Nonsense, there's no better way to learn about the club than to restrain someone or get restrained yourself.","DialogChangeReputation(""Dominant"", -2)",
1070,,,Would you like to experience the strictness of the club?  You can also play with the maid.  (She winks at you.),,
1070,1080,Maybe you could restrain me.,"Absolutely!  (She gets many restraints and use them on you.  She then grabs your camera.)  Say ""cheese"".","DoActivity(""InterviewMistressFinalRestrainPlayer"")",
1070,,I'll check your maid.  (Leave her.),,DialogLeave(),
1080,,,(She looks at you and smirks.),,
1080,,(Do a sexy pose.),Your company will enjoy these pictures.  (She takes your own camera and snaps some pictures.),"DoActivity(""InterviewMistressFinalPlayerPicture"")",
1080,,(Whimper and struggle.),It's not tight enough?  Let me find something else for you.  (She changes your restraints and smiles.),"DoActivity(""InterviewMistressFinalPlayerNew"")",
1080,,(Offer your butt.),(She grabs you and spanks your butt really hard as the camera zooms in.)  It was too tempting.,"DoActivity(""InterviewMistressFinalPlayerSpank"")",
1080,,(Check on the maid.),,DialogLeave(),
