55,56,I can still move my legs!,Not for long.  (She restrains your legs and smiles.),"DialogWearRandomItem(""ItemLegs"")",
55,56,What's next?,I'm sure you can guess.  (She restrains your legs and smiles.),"DialogWearRandomItem(""ItemLegs"")",
56,57,I'm all bundled up now.,Almost!  Open wide little sister.,,
56,57,"This is so kinky, I love it.",Great!  Now open wide little sister.,DominantRepChange(-1),
56,57,I can't wait to initiate other maids.,It's your turn now.  Open wide little sister.,DominantRepChange(2),
57,58,Hey!  I can't talk during my own initiation?,(She quickly silences you with a gag and everyone cheers.),"DialogWearRandomItem(""ItemMouth"")",
57,58,(Stay silent and open your mouth.),(She silences you with a gag and everyone cheers.),"DialogWearRandomItem(""ItemMouth"")",
58,59,(Blush and look down.),My sisters!  It's time to show your strength!  Bring the paddle!,DominantRepChange(-2),
58,59,(Look at them and wait.),My sisters!  It's time to show your strength!  Bring the paddle!,,
59,60,(Scream in your gag.),,DialogSetCharacter(MaidQuartersMaidInitiation),
59,60,(Struggle in your restraints.),,DialogSetCharacter(MaidQuartersMaidInitiation),
59,60,(Try to look tough.),,DialogSetCharacter(MaidQuartersMaidInitiation),
100,,,(She gives you a list of chores.)  What kind of job are you looking for?,,
100,,Can you please release me so I can take a job?,"Poor thing, of course I can help you.  (She releases you and shows you the chores list again.)  ",MaidReleasePlayer(),Player.IsRestrained()
100,200,I'll go serve drinks.,Nice!  Our guests are always thirsty.,,!Player.IsRestrained()
100,0,Let's talk some more first.,Sure.  How can I help you?,,
100,,Give me a few minutes first.  (Leave her.),,,
200,210,I'm already dressed up.,Perfect!  Let me restrain you then.,WearMaidUniform(),PlayerInMaidUniform
200,210,I'll change first.  (Wear the maid uniform.),(You change into the maid uniform.)  Perfect!  Let me restrain you then.,WearMaidUniform(),!PlayerInMaidUniform
210,,Wait!  Restrain me?  Why?,You're in the Bondage Club sweetie.  Waitresses need to be restrained.,DialogRemove(),
210,220,Very well Miss.  (Allow her to restrain you.),"Very good, first I will restrain your legs but not your feet.  You need to be able to walk around.","DialogChangeReputation(""Dominant"", -3)",
210,220,I know the drill.  (Allow her to restrain you.),"Very good, first I will restrain your legs but not your feet.  You need to be able to walk around.","DialogChangeReputation(""Dominant"", -2)",
220,230,I understand.,"Good.  (She restrains your legs and smiles.)  Next is your arms, you won't need them since your drink platter comes with straps.","DialogWearRandomItem(""ItemLegs"")",
220,230,It won't be easy to walk.,"Indeed.  (She restrains your legs and smiles.)  Next is your arms, you won't need them since your drink platter comes with straps.","DialogWearRandomItem(""ItemLegs"")",
230,,I can't serve drinks without my arms.,"Don't worry, our customers will simply pick them from your platter.",DialogRemove(),
230,240,Very well.,(She restrains your arms behind your back.)  I will now strap the drink platter on you.,"DialogWearRandomItem(""ItemArms"")",
230,240,This is so kinky.,(She restrains your arms behind your back.)  I will now strap the drink platter on you.,"DialogWearRandomItem(""ItemArms"")",
240,250,Yes please.,"(She straps a drink platter on you.)  Get used to balance the platter with your body, you don't want to make a mess.","DialogWearItem(""WoodenMaidTray"", ""ItemMisc"")",
240,250,Make sure it won't tip.,"(She straps a drink platter on you.)  Get used to balance the platter with your body, you don't want to make a mess.","DialogWearItem(""WoodenMaidTray"", ""ItemMisc"")",
250,,(Practice a little.),(You practice keeping your balance with the drink platter.)  Are you ready now?,,
250,260,I will be fine.,Of course you will.  Now open wide!,,
250,260,I'm afraid I won't be able to do it Miss.,"You will be fine, you worry too much.  Now open wide!","DialogChangeReputation(""Dominant"", -1)",
260,270,Open wide?  Why?,"(She gags you before you can finish your question.)  Your job is to serve, not to talk.","DialogWearRandomItem(""ItemMouth"")",
260,270,(Open your mouth.),"(She silences you with a gag.)  Your job is to serve, not to talk.","DialogWearRandomItem(""ItemMouth"")",
270,,(Mumble in your gag.),You're so cute when you try to talk with that gag.,DialogRemove(),
270,280,(Frown at her.),Come sweetie!  Our guests are waiting for your drinks.,"DialogChangeReputation(""Dominant"", 1)",
270,280,(Nod slowly.),Come sweetie!  Our guests are waiting for your drinks.,,
280,,(Serve drinks slowly but safely.),,"MiniGameStart(""MaidDrinks"", ""Easy"")",
280,,(Serve drinks at a normal pace.),,"MiniGameStart(""MaidDrinks"", ""Normal"")",
280,,(Serve drinks quickly for more tips.),,"MiniGameStart(""MaidDrinks"", ""Hard"")",
281,290,(Nod happily.),Here's your share of the tips.  (She gives you REPLACEMONEY $),MiniGamePay(),
282,290,(Bow your head.),"Nice try, but maybe you're not fit for that job.  I can't pay you.","DialogChangeReputation(""Maid"", 1)",
290,0,(Struggle in your restraints.),(She releases you and helps you to get dressed.)  All set!  Are you ready for more chores?,RemoveMaidUniform(),
